id,city,city_min_wage,building_area,land_area,bedroom,bathroom,kitchen,dining_room,living_room,storeroom,laundry,garage,carport,floor_count,cctv,ac,legality,negotiable,est_installment,price
16485968,tangerang,4681138,150,112,4,3,0,0,0,0,1,0,1,2.0,0,1,SHM,0,7089220,1100000000
16441561,jakarta selatan,5067381,200,452,5,3,0,0,0,0,0,0,0,2.0,0,0,SHM,0,54780337,8500000000
16441586,depok,4878612,200,375,3,2,0,0,0,0,0,0,0,2.0,0,0,SHM,0,48335591,7500000000
12020332,surabaya,4725479,400,428,3,3,0,0,0,0,0,1,1,2.0,0,0,SHM,1,93448810,14500000000
16477614,jakarta timur,5067381,115,65,3,2,1,0,0,0,1,1,1,2.0,1,1,SHM,1,6122508,950000000
16485951,surabaya,4725479,102,520,2,2,0,0,0,0,0,0,0,1.0,0,0,SHM,1,41890846,6500000000
16480722,jakarta selatan,5067381,397,460,6,4,0,0,0,0,0,2,1,2.0,0,1,HGB,1,79270370,12300000000
16485950,sidoarjo,4638582,64,90,2,1,1,0,0,0,0,1,0,1.0,0,1,SHM,1,7733694,1200000000
16485940,surabaya,4725479,250,180,4,5,1,0,0,0,0,0,0,2.0,0,1,SHM,1,41890846,6500000000
16485938,surabaya,4725479,185,180,2,2,0,0,0,0,0,0,2,1.0,0,0,SHM,1,27390168,4250000000
15905379,bandung,3868638,42,65,2,1,0,0,0,0,0,0,1,1.0,0,1,SHM,0,4092413,635000000
16485934,surabaya,4725479,300,462,7,4,1,0,0,0,0,2,1,1.0,0,0,SHM,1,54780337,8500000000
15674424,depok,4878612,230,180,5,5,0,0,0,0,1,0,2,2.0,0,0,SHM,1,20623185,3200000000
15083332,bandung,3868638,250,320,5,5,0,0,0,0,1,1,1,1.0,0,1,SHM,1,27067931,4200000000
16485931,surabaya,4725479,325,440,5,7,0,0,0,0,0,0,1,1.0,0,0,SHM,1,29001354,4500000000
15038269,bandung,3868638,130,156,6,2,0,0,0,0,1,0,2,2.0,0,0,SHM,1,9989355,1550000000
14970007,bandung,3868638,186,199,4,2,0,0,0,0,1,0,1,1.0,0,0,SHM,1,14171995,2200000000
16485928,surabaya,4725479,240,140,5,4,1,0,0,0,0,0,2,2.0,0,1,SHM,1,27712405,4300000000
16485924,jakarta selatan,5067381,275,295,5,4,0,0,0,0,0,1,2,2.0,0,0,SHM,1,37379524,5800000000
16244469,bandung,3868638,170,110,4,4,0,0,0,0,1,0,2,2.0,0,0,SHM,0,13533965,2100000000
14575559,bekasi,5281346,122,90,3,2,1,0,0,1,1,1,1,1.0,1,1,SHM,1,7475904,1160000000
16485925,surabaya,4725479,170,120,4,5,0,0,0,0,0,0,2,2.0,0,1,SHM,1,17078575,2650000000
16485917,sukoharjo,2215482,120,120,2,2,1,0,0,1,1,0,1,1.0,0,1,SHM,1,8700406,1350000000
16485919,jakarta pusat,5067381,160,160,5,3,0,0,0,0,1,0,0,2.0,0,0,SHM,1,34801625,5400000000
16485914,surabaya,4725479,191,180,5,4,0,0,0,0,0,0,0,2.0,0,0,SHM,1,22556609,3500000000
13703416,tangerang,4681138,130,126,4,3,0,0,0,0,1,0,1,2.0,0,1,SHM,1,15467389,2400000000
16485414,bandung,3868638,192,153,3,3,0,0,0,0,1,1,1,3.0,1,0,SHM,1,19334236,3000000000
16350932,bogor,4696764,207,167,4,3,0,0,0,0,1,0,2,2.0,1,1,SHM,1,12889491,2000000000
16485323,jakarta barat,5067381,320,300,4,3,0,0,0,0,0,0,0,1.0,0,0,SHM,0,61869557,9600000000
